Spatial Distribution,Processor Utilization,Channel Utilization,Input Waiting Time,Channel Waiting Time
HR,0.79196,0.859722,630.708725,221.464294
HR,0.638244,0.815833,395.293799,537.422058
HR,0.622735,0.892743,225.412774,761.577026
HR,0.553766,0.890556,188.420577,928.661072
HR,0.489242,0.87875,157.60558,1075.117432
HR,0.477834,0.921875,136.838134,1217.886597
HR,0.572178,0.476319,344.412678,1.393413
HR,0.558476,0.619861,319.720534,6.146375
HR,0.604414,0.651146,298.515323,19.377216
HR,0.639143,0.819167,243.422381,42.881931
HR,0.547472,0.789063,206.067076,110.907822
HR,0.448119,0.709583,225.488963,158.804123
HR,0.38111,0.705833,125.631665,314.990753
HR,0.37793,0.749167,87.270384,400.346375
HR,0.311804,0.677188,87.705551,490.02179
HR,0.305073,0.723958,59.292463,550.135315
HR,0.679129,0.555486,508.002074,1.496446
HR,0.707956,0.727222,480.132066,8.302955
HR,0.683511,0.710833,454.797569,23.719973
HR,0.690876,0.744583,411.688018,62.65062
HR,0.64273,0.826389,334.347245,182.825714
HR,0.5458,0.779375,190.350066,402.114136
HR,0.432759,0.72941,204.971539,485.1474
HR,0.420722,0.757778,141.801921,667.30658
HR,0.422564,0.799062,132.294159,728.156982
HR,0.347239,0.863194,110.316602,821.218018
HR,0.803096,0.549826,690.208567,2.026069
HR,0.769347,0.675208,642.837882,8.922665
HR,0.761153,0.730521,619.51453,26.240793
HR,0.683967,0.775556,624.406642,58.573162
HR,0.709455,0.842535,472.98318,221.735184
HR,0.604509,0.868958,371.598935,423.436707
HR,0.505288,0.875,217.553375,679.681152
HR,0.463521,0.774444,193.512634,870.919556
HR,0.408886,0.78375,184.823285,972.338074
HR,0.364302,0.798264,157.423829,1125.519653
HR,0.731229,0.498819,861.776137,21.294456
HR,0.781164,0.641042,834.790991,9.258657
HR,0.675502,0.604583,821.138662,25.449713
HR,0.733372,0.772083,817.520328,67.158897
HR,0.634559,0.819271,705.750487,185.278748
HR,0.615881,0.823125,427.56895,506.056
HR,0.550544,0.829792,361.920132,668.805542
HR,0.430889,0.756389,300.175428,859.233643
HR,0.470719,0.904687,216.179762,958.309814
HR,0.409884,0.828472,183.762009,1194.435669
PS,0.927886,0.469149,467.220073,2.25691
PS,0.914674,0.594844,444.583904,11.221832
PS,0.897633,0.713385,421.810454,34.58432
PS,0.867957,0.8075,374.280065,83.233231
PS,0.80322,0.869141,303.249182,190.616913
PS,0.715007,0.901146,225.88267,335.887207
PS,0.637811,0.92033,194.370202,448.49762
PS,0.561209,0.921806,141.776326,594.423401
PS,0.503471,0.923828,134.938714,688.62207
PS,0.460363,0.933333,115.919129,792.786804
PS,0.94723,0.407578,664.751138,2.302593
PS,0.936275,0.558073,648.914045,11.752433
PS,0.938896,0.701823,603.003875,37.560291
PS,0.916288,0.82066,545.087566,98.944687
PS,0.863297,0.901259,425.801938,255.613998
PS,0.771295,0.938385,315.421884,458.623169
PS,0.680886,0.952474,225.084681,664.535339
PS,0.606569,0.95875,185.147187,826.57782
PS,0.538424,0.956406,143.408169,999.04895
PS,0.492775,0.964583,125.056075,1135.979736
PS,0.956543,0.385946,854.506365,2.329191
PS,0.964797,0.549549,828.237477,12.197474
PS,0.958799,0.700755,786.852128,38.007793
PS,0.833681,0.945997,712.104035,104.889626
PS,0.90626,0.924262,556.958907,279.355682
PS,0.799148,0.954688,361.84257,535.853882
PS,0.705812,0.967908,254.808006,745.923279
PS,0.628214,0.975486,220.939988,898.211548
PS,0.561943,0.978594,191.264946,1053.160522
PS,0.509802,0.980382,147.265376,1211.382568
PS,0.787703,0.444939,297.272181,1.803502
PS,0.77177,0.542031,279.965347,8.760285
PS,0.75457,0.667812,260.250104,24.96559
PS,0.720497,0.732431,231.015389,54.264687
PS,0.673265,0.803776,200.816199,98.535614
PS,0.600602,0.827969,175.197572,164.131485
PS,0.521786,0.824323,134.413359,258.612244
PS,0.476747,0.854861,111.161267,320.643372
PS,0.431657,0.859922,84.187286,398.550964
PS,0.397266,0.872309,76.947265,452.322357
PS,0.877179,0.421649,475.167884,2.101553
PS,0.851833,0.533646,463.786026,10.140016
PS,0.877377,0.686354,416.138883,32.558105
PS,0.835567,0.780104,380.515425,76.65834
PS,0.781463,0.853733,314.613922,310.095978
PS,0.715298,0.902344,229.012375,371.66571
PS,0.63048,0.912431,200.58859,412.371552
PS,0.566405,0.926181,150.632315,541.182068
PS,0.50749,0.929844,124.408329,656.648621
PS,0.462423,0.935243,106.669307,750.842773
PS,0.915108,0.392778,659.665687,2.167838
PS,0.918623,0.55316,633.454923,11.410483
PS,0.898435,0.678542,615.454019,34.909355
PS,0.90209,0.816181,541.620146,95.616432
PS,0.859304,0.899957,434.18093,229.198608
PS,0.767585,0.935104,294.302512,450.834259
PS,0.671155,0.939957,256.529357,603.029236
PS,0.601854,0.953681,177.777102,793.640015
PS,0.539759,0.957344,139.549869,951.538147
PS,0.486748,0.95651,126.184347,1087.726685
PS,0.930484,0.394523,847.957303,2.192356
PS,0.942199,0.550712,826.762393,12.014284
PS,0.941612,0.695234,786.883481,36.644043
PS,0.927346,0.822292,709.664401,105.939613
PS,0.888311,0.915582,550.531361,274.691742
PS,0.797411,0.955,374.545667,512.345947
PS,0.706503,0.969549,243.629049,725.963135
PS,0.627709,0.973681,210.026391,885.104004
PS,0.560011,0.974687,172.818675,1040.495117
PS,0.50823,0.978386,160.397978,1180.058472
PS,0.86733,0.64684,246.261255,2.044179
PS,0.840152,0.702569,235.461691,10.14529
PS,0.824914,0.768854,217.819531,30.322653
PS,0.75785,0.785833,204.534258,58.60265
PS,0.714316,0.832118,158.143149,123.017624
PS,0.632461,0.844583,116.240102,214.452255
PS,0.551504,0.839028,113.595496,278.491974
PS,0.49651,0.860556,81.290563,364.986053
PS,0.452939,0.860937,83.883106,425.249847
PS,0.420933,0.865972,87.548434,483.833649
PS,0.936473,0.588333,440.568794,2.227537
PS,0.900764,0.662917,425.003658,10.88244
PS,0.90722,0.76625,396.412708,33.936623
PS,0.862785,0.83375,347.883212,94.348297
PS,0.807842,0.895833,291.412257,179.849548
PS,0.701786,0.895417,179.632006,374.583313
PS,0.639351,0.929931,145.010342,490.504761
PS,0.573968,0.931944,124.17505,603.130981
PS,0.511543,0.918437,113.861094,715.827026
PS,0.47255,0.929167,89.16558,830.844727
PS,0.9513,0.498715,636.497807,2.314414
PS,0.936808,0.639167,620.951115,11.713354
PS,0.931204,0.720729,587.482683,36.626431
PS,0.937835,0.859583,509.674402,102.300987
PS,0.864236,0.919097,354.147836,306.522491
PS,0.780074,0.944792,264.85216,497.36142
PS,0.687981,0.965174,199.986105,681.090576
PS,0.61379,0.9625,166.875076,845.246582
PS,0.549407,0.96375,131.749403,1007.446472
PS,0.50007,0.961111,120.57513,1151.877319
PS,0.974802,0.46934,822.921127,2.351146
PS,0.980224,0.638125,809.186312,12.150679
PS,0.971452,0.748021,755.084983,40.07254
PS,0.948199,0.86,686.45432,106.190559
PS,0.909553,0.944792,522.214254,295.415222
PS,0.806512,0.968958,313.497466,553.938843
PS,0.703002,0.964201,236.531664,755.845886
PS,0.635748,0.982778,176.748269,928.996765
PS,0.574563,0.990312,152.513064,1072.681763
PS,0.510356,0.965972,135.151713,1226.546875
PS,0.787135,0.608993,270.589738,1.870605
